planid	partnb	id	type	actual	nominal	uppertol	lowertol	deviation	exceed	featureid	featuresigma	comment	link	linkmode	mmc	useruppertol	userlowertol	fftphi	fftphiunit	zoneroundnessangle	groupname	groupname2	idsymbol	idshort	K2005class
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-3.50; 26; Left-Coast)	Profile form error (ffa) (-3.50; 26; Left-Coast)	0.001328538226058	0.00000	0.003000	0.000000																631	ffa___426L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-6.50; 26; Left-Coast)	Profile form error (ffa) (-6.50; 26; Left-Coast)	0.001851194799674	0.00000	0.003000	0.000000																631	ffa___726L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-0.50; 38; Left-Coast)	Profile form error (ffa) (-0.50; 38; Left-Coast)	0.001141486121408	0.00000	0.003000	0.000000																631	ffa___138L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-3.50; 38; Left-Coast)	Profile form error (ffa) (-3.50; 38; Left-Coast)	0.001378526875072	0.00000	0.003000	0.000000																631	ffa___438L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-6.50; 38; Left-Coast)	Profile form error (ffa) (-6.50; 38; Left-Coast)	0.001598721385484	0.00000	0.003000	0.000000																631	ffa___738L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-0.50; 1; Left-Coast)	Profile crowning (Ch) (-0.50; 1; Left-Coast)	0.002653690869163	0.00400	0.003000	-0.004000																643	Ch____1_1L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-3.50; 1; Left-Coast)	Profile crowning (Ch) (-3.50; 1; Left-Coast)	0.003221227087054	0.00400	0.003000	-0.004000																643	Ch____4_1L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-6.50; 1; Left-Coast)	Profile crowning (Ch) (-6.50; 1; Left-Coast)	0.007226063174955	0.00400	0.003000	-0.004000																643	Ch____7_1L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-0.50; 13; Left-Coast)	Profile crowning (Ch) (-0.50; 13; Left-Coast)	0.002536583449217	0.00400	0.003000	-0.004000																643	Ch____113L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-3.50; 13; Left-Coast)	Profile crowning (Ch) (-3.50; 13; Left-Coast)	0.003104332061237	0.00400	0.003000	-0.004000																643	Ch____413L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-6.50; 13; Left-Coast)	Profile crowning (Ch) (-6.50; 13; Left-Coast)	0.006439746736658	0.00400	0.003000	-0.004000																643	Ch____713L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-0.50; 26; Left-Coast)	Profile crowning (Ch) (-0.50; 26; Left-Coast)	0.002937693705254	0.00400	0.003000	-0.004000																643	Ch____126L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-3.50; 26; Left-Coast)	Profile crowning (Ch) (-3.50; 26; Left-Coast)	0.003216241569937	0.00400	0.003000	-0.004000																643	Ch____426L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-6.50; 26; Left-Coast)	Profile crowning (Ch) (-6.50; 26; Left-Coast)	0.007190671194135	0.00400	0.003000	-0.004000																643	Ch____726L	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-0.50; 38; Left-Coast)	Profile crowning (Ch) (-0.50; 38; Left-Coast)	0.002571894018257	0.00400	0.003000	-0.004000																643	Ch____138L	3
